display  D   display_settings.c:191  debug_display_settings           [   0.10306] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10317] Score is : 587
display  D   display_settings.c:191  debug_display_settings           [   0.10325] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10338] Score is : 586
display  D   display_settings.c:191  debug_display_settings           [   0.10346] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10357] Score is : 585
display  D   display_settings.c:191  debug_display_settings           [   0.10365] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10375] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.10383] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10394] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.10402] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10412] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.10420] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10432] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.10440] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10451] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.10459] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10469] Score is : 587
display  D   display_settings.c:191  debug_display_settings           [   0.10478] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10489] Score is : 586
display  D   display_settings.c:191  debug_display_settings           [   0.10497] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10508] Score is : 585
display  D   display_settings.c:191  debug_display_settings           [   0.10516] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10527] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.10535] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10597] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.10606] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10616] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.10625] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10636] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.10643] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10654] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.10661] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10672] Score is : 587
display  D   display_settings.c:191  debug_display_settings           [   0.10680] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10690] Score is : 586
display  D   display_settings.c:191  debug_display_settings           [   0.10698] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10708] Score is : 585
display  D   display_settings.c:191  debug_display_settings           [   0.10715] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10727] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.10734] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.10745] Score is : 609
